,ORA_ACTU,GLE_ACTU,ALO_ACTU,KER_ACTU,CAP_ACTU,AIR_ACTU,CS_ACTU,BNP_ACTU,ORA_RDMT_5,GLE_RDMT_5,ALO_RDMT_5,KER_RDMT_5,CAP_RDMT_5,AIR_RDMT_5,CS_RDMT_5,BNP_RDMT_5
2017-01-19,NR,NR,Investissement dans une start-up toulousaine (CF),NR,NR,Fournisseur satellitaire des administrations (CF),NR,NR,-0.020854320263407833,0.04037193381191506,0.026189093588214973,-0.006736154132807148,-0.029894813421469157,-0.00870494296888058,0.006018890295392154,0.03145918877038878
2017-01-20,Arrive sur le réseau Megalis Bretagne (CF),NR,NR,NR,NR,Essais finaux pour le satellite Aeolus (CF),NR,NR,-0.027917925882471106,0.03337693661003405,0.04495915217349711,-0.0115771137823647,-0.01678159060017337,-0.010254028259820691,0.006709903754859248,0.023143512451975656
2017-01-23,NR,BlackRock dépasse les 5% des DDV (CF),Contrat pour 15 tramways à Taïwan (CF),NR,NR,NR,Lancement d'une chaire en informatique médicale (CF),NR,-0.024108691797209425,0.04092782696427344,0.03367927612208543,-0.01145127143154634,-0.011696667531645555,-0.0330022327491164,0.004604233318624251,0.0185873347152532
2017-01-24,Création de l'Orange Cyberdefense Academy (CF),NR,NR,NR,NR,Livre un module d'essai de propulsion pour Orion (CF),Accord avec Suez pour la prévention de catastrophes (CF),NR,-0.020847594175663953,-0.011899523537640344,0.015670326073945473,-0.030383084082591605,-0.006982855976836344,-0.04270895883664527,0.0,-0.012020053461802682
2017-01-25,Démonstration de débit au-delà de 10 Gbit/s (CF),"Propose Paylib sans contact (CF) | Bondit de +3%, au-delà des 47E (CF)",NR,NR,NR,NR,NR,Importante nomination chez Real Estate (CF),-0.018238086339885218,-0.03673079318240613,0.0009451238669868633,-0.03755969114439617,-0.006663210479881387,-0.0350206596865309,-0.007499431923140398,-0.028209622355361286
2017-01-26,NR,"Retrace la résistance des 48,8E (CF)",NR,NR,NR,NR,N'est pas intéressé par Generali (CF),NR,-0.018893889827456656,-0.039331139003096705,-0.0022518358263536875,-0.025596187982744323,0.024996685284905062,-0.03189036192783068,-0.027991401280972106,-0.022388077251457417
2017-01-27,"4ème séance de repli, enfonce 14,5E (CF)",NR,NR,NR,NR,NR,NR,NR,-0.005882355658750393,-0.031771105918369624,0.010244002200348268,-0.013701633004023606,0.020772686647106298,-0.02489557509261564,-0.00408511360063879,-0.005044774116227169
2017-01-30,Accord de collaboration avec Nokia dans la 5G (CF),NR,NR,NR,NR,NR,NR,Investissement dans la fintech Fortia (CF) | Rétrograde vers 60E (CF) | Nomination chez Real Estate au Luxembourg (CF),-0.006263058685082923,-0.04103272286186499,0.007198313826470182,-0.011806644787907938,0.009707491842533278,-0.002844055973644677,-0.0080750531285263,-0.0044791052294513856
2017-01-31,NR,Surveiller une cassure des 45E (CF),Nomination au conseil d'administration (CF) | Contrat de 91 millions pour le métro lyonnais (CF),"Retombe sur 220E, victime d'un arbitrage pro-LVMH ? (CF)",NR,NR,NR,Trois nominations chez CIB et Exane (CF),-0.012216418364046078,-0.03579720933259278,0.018476183102765775,0.006357866854665772,0.012869756613516747,0.0019120897034961004,-0.013204192171089146,-0.034302108293827294
2017-02-01,Construction d'un gigantesque câble sous-marin (CF),NR,NR,NR,Bryan Garnier reste à 'achat' (CF),"Premier conseil d'achat d'UBS, qui vise 77 euros (CF)",NR,NR,0.0010514818988740515,-0.07159156707012526,-0.002455095007802499,-0.00812093483853793,0.0044719712316732,-0.005229762667787741,-0.04360968201796833,-0.07537522042412659
2017-02-02,NR,NR,Prolonge un contrat à San Francisco (CF),NR,NR,NR,"BlackRock passe sous les 5% des DDV (CF) | Rechute de -2% vers 22,65E (CF)",Transaction de Real Estate à Strasbourg (CF),0.011904767470088284,-0.04302135052896716,-0.01090839848341052,0.007633626615099143,-0.007225774949596753,0.018459577412403005,-0.0037371285418758005,-0.0592432757096264
2017-02-03,NR,NR,Contrat de 75 ME avec la RATP (CF) | Dix tramways de plus pour Strasbourg (CF),NR,NR,NR,NR,NR,0.0027845431597883774,-0.07587492051847944,-0.03244846618172814,0.03204121854345954,0.0029811500063536833,0.021090992505444772,-0.023963743904678703,-0.08897609880627555
2017-02-06,"'gap' au-dessus des 14,42E (CF)",Revient menace le support majeur des 45E (CF) | Une nouvelle directrice des Achats (CF),Les premiers Coradia Liner circulent (CF) | Contrat de 17 ME pour le métro de Shanghai (CF),NR,NR,NR,"Teste la base du corridor 22,7/236E (CF) | Signe un partenariat avec Airtel Payments Bank (CF) | BlackRock repasse au-dessus des 5% des DDV (CF)","Cession de 75,5% du capital d'Effico (CF)",0.008753501564246369,-0.04446434210644079,-0.003573434212336468,0.04598738842856909,0.028447201686203627,0.0434162230592674,0.012321178200075611,-0.060989834190660286
2017-02-07,NR,NR,NR,NR,Offre de cyber sécurité pour l'automobile (CF),NR,BlackRock sous les 5% des droits de vote (CF),"Lanterne rouge du CAC 40 après ses résultats (CF) | La branche Immobilier remporte un appel d'offre (CF) | Oddo reste à l'achat après les comptes du 4T (CF) | 'gap' sous 60,01E, décroche vers 58E (CF) | Hausse de 15,1% du bénéfice net en 2016 (CF)",0.02438164497029449,-0.010312752734085051,-0.006171644565468926,0.04805954671132073,0.02986647259714026,0.05295798282112263,0.03010701314734887,-0.0064742386124782
2017-02-08,NR,Distingué pour sa politique RH (CF),NR,NR,NR,Départ surprise du 'stratège' Marwan Lahoud (CF),NR,NR,0.022058861340894076,0.023753788919308683,0.008519465330590226,0.04412100410162756,0.03548512487900801,0.056555666897744494,0.0428894257020529,0.025508388693281203
2017-02-09,NR,BlackRock passe sous les 5% des DDV (CF),NR,NR,Pourrait mettre la main sur TCube Solutions (CF),NR,NR,Renforce son partenariat avec Plug and Play (CF),0.014186846118476204,-0.004346800061509892,0.003993106932892676,0.02027630646830647,0.05913692848955043,0.027656197547912598,0.009267475429628913,0.0058211649153085965
2017-02-10,NR,NR,NR,"Explose ses records, bondit au-delà des 231E (CF) | Gucci a continué d'accélérer en fin d'année (CF) | Excellentes performances 2016 (BNW)",NR,"Une 'revalorisation significative en 2017', selon SG (CF)",BlackRock a accru sa position (CF),NR,-0.0006941530991237954,0.000353974399901702,-0.008955719967953746,-0.019973989246113044,0.059963809179942595,0.01568569880112225,-0.0061932931866180985,0.0008976523586299301
2017-02-13,NR,Dans le vert avec un relèvement de broker (CF) | UBS n'est plus à 'vente' (CF),NR,Aurel BGC relève son objectif de cours (CF) | Bryan Garnier n'est plus à l'achat (CF),NR,NR,NR,NR,-0.003818073760569307,-0.022448242679152908,-0.014345075406438701,-0.018965517973414725,0.05775390379986667,0.010326504494043709,-0.028254711681920064,-0.012777239139350138
2017-02-14,"Pas de discussions avec Bouygues, mais.. (CF)",BlackRock dépasse les 5% des DDV (CF),NR,NR,NR,NR,NR,NR,-0.0027595696563529337,-0.032302892518291104,-0.00809183577882433,-0.016576938622681503,0.04248278073274214,0.015556544231072555,-0.025979583977478127,-0.017435679553598482
2017-02-15,Désignation d'un nouvel administrateur (CF),Vers une réintégration du canal 45/49E ? (CF),NR,"Vers la fermeture du 'gap' des 224,4E ? (CF)",NR,NR,NR,NR,-0.003768434681020949,-0.043433483999853806,-0.022338993598443158,0.006534519208488465,0.033889734991424225,0.005729753545937077,-0.011904745194327826,-0.029396458376504953
2017-02-16,NR,NR,NR,NR,Refranchit le cap des 81E (CF) | Acquisition de TCube Solutions (CF) | Met la main sur la société Idean (CF) | Hausse de 16% du résultat normalisé par action (CF),NR,BlackRock s'est allégé (CF),BlackRock passe sous les 5% (CF),-0.003070629622237586,-0.0361902745030529,-0.02272725856071578,0.00655164385181406,-0.007117366754994414,0.04987086173186217,-0.011805878786872892,-0.024552815058567545
2017-02-17,NR,BlackRock dépasse les 5% des DDV (CF),Avancée dans les engagements pour Belfort (CF),NR,NR,Attaqué en justice par l'Autriche sur le Typhoon (CF),NR,"Retombe sur 55,5E (CF)",0.0017366875814714966,-0.022877386457429316,-0.02518743430781878,0.0175011390873685,-0.013045595447664149,0.045106985923767384,-0.012018716044057909,-0.0191928196381026
2017-02-20,Digital Ventures investit dans Famoco (CF),NR,NR,NR,BlackRock passe sous les 5% (CF),NR,BlackRock dépasse les 5% des droits de vote (CF),Propose le service Paylib sans contact (CF),-0.0059233474485989035,-0.006458568491631955,-0.027958596558620763,0.014938492442897688,-0.02106534982945163,0.027356075878819608,-0.012748819201433892,-0.015998550648213983
2017-02-21,Contrat pour une ville intelligente au Qatar (CF),NR,Contrat de 100 millions d'euros en Australie (CF),NR,NR,NR,BlackRock dépasse les 5% des DDV (CF),Nomination dans la branche Immobilier (CF),-0.013144211787348592,0.0028714747369191773,-0.02769876607499211,0.005910664303004687,-0.015495322806891143,0.03093399609067271,-0.010002239300978544,-0.011830074145570024
2017-02-22,NR,NR,NR,NR,NR,L'A400M plombe lourdement les comptes annuels (CF),NR,BlackRock se renforce au capital (CF) | BlackRock au-dessus de 5% (CF),-0.009628634366578903,0.05078264877546812,-0.015168993004437636,0.014931864535111083,0.005870789077760508,0.06626695653029313,0.009419502536752722,0.032078869892501416
2017-02-23,Bryan Garnier toujours à l'achat après les résultats (CF) | EBITDA ajusté en légère hausse en 2016 (CF),NR,NR,NR,NR,"L'une des plus fortes hausses du CAC, UBS à l'achat (CF) | S'envole de +4%, déborde 69E (CF) | UBS vise maintenant 82 euros (CF)",Revient au centre du biseau 23/22E (CF) | Hausse de 2% du résultat net annuel (CF),NR,-0.016427089442707543,0.0517344617816351,-0.013953447580990708,0.006725923103791276,0.030404140070811714,0.03837789687710824,0.02654868899744267,0.036857232585910005
2017-02-24,NR,Changements en vue au CA (CF) | BlackRock dépasse les 5% des DDV (CF),NR,NR,NR,NR,BlackRock dépasse les 5% du capital (CF),NR,-0.003120671016356269,0.11344438156695569,0.00828400561544429,0.01284566818727817,0.03792464250229832,0.04125822615624397,0.06352781558005227,0.08467448870290117
2017-02-27,Qualcomm rejoint l'initiative Towards 5G (CF) | Accélère sur l'Internet des Objets (CF),NR,Présente le train Coradia pour l'Algérie (CF),NR,NR,NR,BlackRock passe sous les 5% des DDV (CF),NR,0.009463671360562698,0.08835926320272369,0.006895191804029199,0.011904753444076155,0.029309952123332428,0.03950262820648054,0.06796556505398477,0.07234196132716608
2017-02-28,NR,NR,NR,Jefferies remonte son objectif de cours (CF),Ouvre un nouveau centre d'innovation à Singapour (CF),"Finalise la cession de Defence Electronics (CF) | Vers un re-test imminent des 69,75E (CF) | Livraison du 1er A350-900 à Air Caraïbes (CF) | Nomination dans la division Commercial Aircraft (CF)",NR,Location de 934 m2 à Generali Vie (CF),0.005608126307792283,0.07730855858418395,0.0019511848187916403,0.0134929746182475,0.03618785575159311,0.012550530155974515,0.05882350422160387,0.06729546549235166
2017-03-01,NR,"Ouvre un 'gap' au-dessus de 42,12E (CF) | Un service d'agrégation de comptes (CF)",NR,NR,NR,Obtient une certification de l'EASA et de la FAA (CF),"Ouvre un 'gap' au-dessus de 22,33E (CF)",NR,-0.0010416243087351118,0.04173297779233742,0.00565415942304015,-0.003198361789080395,0.017144986609131996,-0.009139503666711346,0.02973087841679467,0.030560832034554508
2017-03-02,A emprunté 1 250 ME sur le marché obligataire (CF),NR,NR,NR,NR,NR,NR,NR,0.0184412209765612,0.059843574503071206,0.0072719719279907835,0.020905214231317526,-0.0019191994343065177,-0.022873074748277822,0.034913768935572964,0.05410096836559508
2017-03-03,NR,"+4,7%, referme le 'gap' des 44,70E du 06/02 (CF)",NR,NR,NR,NR,NR,NR,0.027130458665930668,0.03511812040699258,-0.004890487334580196,0.012037781665372949,-0.013925234654741714,-0.015596468159470911,0.013344653258475558,0.04299442215506133
2017-03-06,NR,NR,A livré le 1er métro pour des lignes à Riyad (CF),NR,NR,Présente iflyA380.com à l'ITB Berlin 2017 (CF),NR,Transaction de Real Estate à Francfort (CF) | Partenariat avec PSA en lien avec Opel (CF),0.020486116951998534,0.05408692834394646,-0.0031305114673938483,0.02245994750737279,-0.009972387331227295,-0.01548214013044169,0.015273679041693633,0.042248713969388785
2017-03-07,NR,NR,NR,NR,NR,Revient en appui sur les 70E (CF),"BlackRock dépasse les 5% des droits de vote (CF) | 'un bon point d'entrée', selon Credit Suisse (CF)",Nomination chez Real Estate (CF) | Transaction de Real Estate à Rome (CF),0.017427674823723205,0.03975632576482768,-0.00778962055833643,0.025552883412052196,-0.006099774339283104,0.00014239217108280577,0.006361306998117211,0.0171651651752891
2017-03-08,NR,NR,NR,NR,NR,Annonce le lancement d'EDRS-D (CF) | Signe un partenariat avec Intelsat General (CF),NR,NR,0.009384791569956752,0.025215560999927833,0.021713822565313512,0.022246015820831078,-0.005499092362004854,-0.0005676304077542049,0.004425691909296647,0.012468436352015555
2017-03-09,NR,BlackRock passe sous les 5% des DDV (CF),Présentation de la solution électrique Aptis (CF),NR,Nominations au sein du conseil d'administration (CF),Signature d'un partenariat avec Routehappy (CF),Lancement de Global Parametics (CF),Se hisse au-delà des 61E (CF),0.006491240988641289,0.00780660582678161,0.03687809144632581,0.02512133831121588,0.01382047276207099,0.00428208767074123,-0.0035402328617656353,-0.0016450450289895446
2017-03-10,NR,"Teste déjà 498E, peut viser 48,86E (CF)",15 TGV de plus pour la ligne Paris-Bordeaux (CF),NR,NR,NR,NR,NR,0.00609544170815246,-0.013403128579024814,0.044033852772674464,0.020178475098326487,0.01774292393212651,-0.0007136086797814301,-0.0022993438545299005,-0.025541574773122355
2017-03-13,NR,NR,NR,Franchit le cap des 240E (CF),Dans les petits papiers de l'Ethisphre Institute (CF),KAIR Airlines a commandé huit A320ceo (CF),NR,NR,0.005784283083511088,-0.01941244537537823,0.04533859167612264,-0.009414218828039278,0.02815533558085659,0.009292373899027595,-0.003760975822822088,-0.0250081525280319
2017-03-14,NR,NR,Succès du premier essai du train Coradia iLint (CF) | Oddo remonte sa cible (CF),NR,NR,NR,NR,NR,0.006851622197042051,0.011609372397177076,0.03827282139960975,-0.013190959092235333,0.002888060988885277,-0.008404506603121753,0.00821743356872573,0.006850457107185903
2017-03-15,NR,Renforce son équipe à SG GTB (CF),NR,NR,NR,Livre le 1er satellite tout électrique à Eutelsat (CF),NR,NR,0.02100546431721262,-0.0041524637697170075,0.007400380499104742,-0.014438128983486176,0.010938766750917983,-0.021723679861810785,-0.014477520539615596,0.0033283535102610617
2017-03-16,Lancement de la marque Orange au Burkina-Faso (CF),"Se détache avec +2,5%, se rapproche de 48,8E (CF)",NR,"Nouveau record absolu à 243,1E (CF)",NR,NR,NR,NR,0.004752250554918014,0.007533946313315942,-0.0009409327419666047,-0.017709996400135153,-0.006756753090329859,-0.007248466910266593,-0.011912219707436278,0.006755641072492491
2017-03-17,NR,NR,NR,Fabrizio Malverdi va prendre la tête de Brioni (CF),NR,Enquête pour corruption présumée en France (CF) | Nouveau centre de formation en Inde (CF) | Coopèrera avec le Parquet National Financier (CF),NR,NR,-0.01380006260674671,0.00435147556148352,0.019205358956280616,-0.010826613129261142,0.00403230512945596,0.00014275827068943592,-0.013199268262253927,0.0029860701529675904
2017-03-20,90% des foyers raccordables à la fibre à Paris (CF),NR,Nomination au Conseil d'administration (CF),NR,NR,NR,NR,La transformation digitale va accélérer (CF),0.0,0.008667792556878329,0.019151346976886252,0.00021115147452022143,0.0010622797048382981,-0.0179886213953947,-0.005662761242355985,0.011902750482992497
2017-03-21,NR,Revient au contact des 48E (CF),NR,Projet d'accord avec la Maison Cartier (CF) | Kering eyewear et la maison cartier s’associent pour développer la catégorie... (BNW),NR,NR,NR,"Deux nominations chez Investment Partners (CF) | Deux nominations chez Investment Partners (CF) | Rebondit vers 61E, évite d'enfoncer 59,3E (CF)",-0.0006804542643876754,0.001789831153263588,0.02438564226738893,0.01230639177874937,0.01811857694483665,0.017526234880131497,-0.00208983233667559,0.027547293289899244
2017-03-23,Morgan Stanley slightly lowers price target (CF),NR,Bouygues affirme ne pas discuter du dossier (CF) | Rumeurs d'intérêt de Bombardier (CF),NR,Réalise l'acquisition d'Itelios (CF),NR,NR,Transaction de Real Estate en Espagne (CF),-0.01182433705942909,-0.008530780248842795,0.04351104269909767,0.011739991738440203,0.02255638344668154,0.025626355828633596,0.024323213950303124,0.011456641250751298
2017-03-24,NR,NR,"Nouveau test de la résistance majeure des 27,25E (CF)",NR,NR,NR,NR,NR,-0.005802050536537817,0.004966725502955072,0.03510074357712156,0.020627235367585817,0.022442638959331074,0.018709015292676323,0.029936303462659852,0.03258354698204191
2017-03-27,NR,"Retombe sous 46,5E (CF)",NR,Partenariat de longue durée entre Puma et l'OM (CF),NR,NR,NR,NR,-0.015561538998085767,-0.017292646359764685,0.028371371240500043,0.02512671266971389,0.012734369321359074,0.029280235477905148,0.009280713522993311,0.014247856223581268
2017-03-28,NR,NR,NR,Émission d’un emprunt obligataire de 300 millions d’euros (BNW),NR,"Corridor 68,8/71,7E (CF)",NR,NR,-0.015321782433806663,-0.03941145496440246,0.03413910115836405,0.022636761343396872,0.011785504042230333,0.013977097814156458,-0.0008377155084260401,-0.019541329461464807
2017-03-30,NR,NR,NR,Assémblée generale mixte ordinaire et extraordinaire du 27 avril 2017 (BNW),NR,NR,NR,"Bute sur 62,8E, pullback sur 61,3E (CF)",-0.018461569761618613,-0.019970228017918257,0.022563183195287717,0.02113555542915968,0.026844106484192887,0.012283602190330534,-0.01589924536261833,-0.01699027912658735
2017-03-31,NR,NR,Plus de 300 millions de contrats en Allemagne (CF),NR,NR,NR,BlackRock sous les 5% des voix (CF),NR,-0.017850963453352686,-0.021661383718679317,0.01570584138645792,0.03608995725591435,0.01732902082147847,0.016402609545930646,-0.02370640591572981,-0.02450742866919431
2017-04-03,NR,"Retombe au milieu du corridor 46,4/48,1E (CF)",Va livrer 30 rames Coradia pour la SNCF (CF),NR,NR,NR,NR,"Risque de 'M' baissier sous 62,8E (CF)",-0.01786943130402152,-0.009823988553354535,0.022393413995701383,0.02780636448400986,0.02247060564548553,-0.003783692126563265,-0.011494237295702425,-0.019928147604978297
2017-04-04,NR,Vers un test imminent des 44E (CF),NR,The Capital Group sous les 5% du capital (CF),NR,NR,NR,Prend 95% du capital de Compte-Nickel (CF),-0.008298747250519378,-0.00886220103354085,-0.00963596447921855,0.022545654821466643,0.01595809867131215,-0.0072402763196318665,-0.009432001081004171,-0.02174270655131383
2017-04-05,NR,NR,Homologation pour sa locomotive hybride (CF),NR,"Vers la fermeture du 'gap' des 88,66E (CF)",Deux A320-200neo de plus pour l'Asie (CF),NR,NR,-0.0017379611961627628,-0.021905804306120324,-0.017124483194705276,0.032919270829969705,0.0006863923587703269,0.005030049069255416,-0.005063326386936184,-0.01663893553059903
2017-04-06,NR,Deux projets de croissance pour ALD (CF),Succès du Coradia Liner sur une ligne Intercités (CF),NR,NR,NR,NR,NR,-0.014280733559265513,-0.05690439928938962,-0.03918799496970293,0.017654194279488555,-0.017390388159957082,-0.01640919563012,-0.0243390652775064,-0.04032923066566996
2017-04-07,NR,Lyxor International AM passe sous les 10% (CF),SystemX lance le projet TAS (CF),NR,Un nouveau contrat avec Ikano Bank (CF),Seulement six commandes nettes au 1er trimestre (CF),NR,NR,-0.023767923476721187,-0.0753439603100926,-0.04955188038191738,-0.007762772181305055,-0.03588458006272632,-0.04096553407866377,-0.03758443320010885,-0.05878492186134676
2017-04-10,NR,NR,NR,Collection Gucci exclusive pour le site Mr Porter (CF),Bryan Garnier reste à l'achat (CF) | Rachat des activités US de Ciber (CF),NR,NR,NR,-0.01819455770300238,-0.034997809002951574,-0.05344316121131598,0.0030060098482946884,0.001252569013138416,-0.01617659242825753,-0.0340380684211532,-0.027666664123535134
2017-04-11,NR,NR,NR,Avec Isabelle Huppert pour Woman in Motion (CF),Confirme plusieurs nominations (CF),NR,NR,NR,-0.020223149146947006,0.0044155154216691805,-0.022162131109566774,0.0062136258424918545,0.014560841840081773,0.01360439761278065,-0.014388415459775539,0.021215729065154454
2017-04-12,NR,NR,Isolé par Siemens et Bombardier ? (CF) | A nommé un nouveau DRH (CF),NR,NR,"Un début d'année sans relief, selon Credit Suisse (CF)",BlackRock a franchi en hausse le seuil des 5% (CF),Accord au Japon avec Sumitomo Mitsui (CF),-0.02437321978853002,0.03661810225438766,-0.016333945475815126,-0.00801769849768108,-0.0030868214095443047,-0.005004874305911233,-0.0036047109731838223,0.04906940102796731
2017-04-13,NR,Partenariat avec l'ESCP Europe (CF),NR,NR,NR,NR,NR,Pradera confie à Real Estate un mandat européen (CF),0.039929367440951324,0.16883110506090748,0.04905379494829232,0.02113660119571592,0.051590594231453846,0.036870842365140044,0.07655916931808626,0.14339630419299354
2017-04-19,NR,"'gap' des 42,12E du 28/02 pas refermé (CF)",Dernière rame du métro de Los Teques livrée (CF),NR,Barclays relève sa recommandation (CF),1ère rencontre du radar japonais et de son satellite (CF),NR,NR,0.04953675422140247,0.143373568023192,0.08256197701981027,0.1364635823134439,0.05481632751160692,0.059336484867313466,0.08295033988711542,0.12787114980559355
2017-04-20,Présente l'offre 100% mobile d'Orange Bank (CF),Des nominations au sein de la direction (CF),Contrat de près de 17 ME à Buenos Aires (CF),NR,NR,Le tout premier A321neo livré à Virgin America (CF),Désignation d'un nouveau chief data officer (CF) | Nomme un nouveau directeur des affaires publiques (CF),Transaction de Real Estate à Paris (CF),0.034875428075886505,0.09418617316218914,0.07886492388666655,0.13167330360680074,0.05040116614466217,0.037775058582288024,0.04851863960268177,0.07155805818139638
2017-04-21,NR,"3ème hausse consécutive, les 48E en approche (CF)",NR,NR,NR,Une étape majeure du développement d'Ariane 6 (CF),NR,NR,0.013561711440347679,0.08480067516474232,0.07564569749933758,0.14992929262437316,0.05389913695096138,0.037166461833892495,0.04320065347490987,0.04483868998865925
2017-04-24,NR,Nouveau poste pour Delphine Garcin-Meunier (CF),NR,S'envole avant l'annonce des résultats (CF) | Invest Securities remonte sa cible (CF),NR,NR,BlackRock passe sous les 5% des droits de vote (CF),NR,-0.026843387948874975,-0.006882959382962794,0.02119089791422546,0.11306381054399983,0.030689618015004694,0.009329400350832406,-0.0045944773457206045,-0.013351439696197676
2017-04-25,NR,NR,NR,"Nouveau record à 260,6E (CF) | Hausse de 31,2% du chiffre d'affaires trimestriel (CF) | Croissance exceptionnelle du chiffre d’affaires au premier trimestre 2017 (BNW)",NR,NR,BlackRock passe sous les 5% des droits de vote (CF),NR,-0.01741804019541726,0.009624861126211526,-0.0012021151574745925,0.0985916313829096,0.009409196892716354,-0.0024291539660239447,0.006600036621093652,-0.011949148003423282
2017-04-26,NR,NR,Débuts d'un livraison au Panama (CF),"Bryan Garnier remonte sa cible après le CA (CF) | Bondit de +11%, pulvérise tous ses records à 288E (CF)","Croissance de 2,6% du CA au 1er trimestre (CF)",Importante commande chinoise (CF),NR,NR,-0.008488964126432408,0.02213444229953576,0.003762015664313667,0.02144857823984303,0.011751982079683199,0.012687305815475058,0.042845572989044234,0.008662608942067385
2017-04-27,"Hausse de 0,8% du CA trimestriel (CF)",The Capital Group Cie dépasse les 5% (CF),NR,Descriptif du programme de rachat d’actions soumis a autorisation de l’assem... (BNW),Oddo reste à l'achat après les chiffres du T1 (CF),Petite déception du côté du résultat d'exploitation (CF),NR,NR,0.03163686653052422,0.04218566372668797,0.018275011484680803,0.03274071431700709,0.03518025153117321,0.01173329671223966,0.023751020552579716,0.044468371820943764
